SMILES,NMR yield,Isolated yield
CCCC(N(CC1=CC=CC=C1)C)C2[C@H]3CC[C@H](C3)C2,,79%
CN(C(CCC)C(C)C)CC1=CC=CC=C1,,76%
CCCC(N(CC1=CC=CC=C1)CC2=CC=CC=C2)C(C)C,,76%
CC(C)CC(N(CC1=CC=CC=C1)C)C(C)C,,77%
CN(C(CCC(OC)=O)C(C)C)CC1=CC=CC=C1,,63%
CCCC(N(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2)C(C)C,,77%
CN(C(CCCCCl)C(C)C)CC1=CC=CC=C1,,73%
CC(C)C(N(C)CC1=CC=CC=C1)C2=CC=C(C=CC=C3)C3=C2,,73%
CC(C)C(N(CC1=CC=CC=C1)C)C2CCCCC2,,72%
CC(C)C(N(C)CC1=CC=CC=C1)C2=CC=CC=C2,,71%
CN(C(CC/C=C\CC)C(C)C)CC1=CC=CC=C1,,78%
CC(C)C(CCC1=CC=CC=C1)N2CCC(C3=CC=CC=C3)CC2,,70%
CC(C)C(CCC1=CC=CC=C1)N2CCCC2C(OCC)=O,,69%
CC(C)C(CCC1=CC=CC=C1)N(CCOC)CCOC,,65%
CN(C(CCC1=CC=C(C)O1)C(C)C)CC2=CC=CC=C2,,51%
CN(C(CCN1C(C2=CC=CC=C2C1=O)=O)C(C)C)CC3=CC=CC=C3,,65%
CN(C(CC(F)(F)F)C(C)C)CC1=CC=CC=C1,,67%
CN(C(CCC1=CC=CC=C1)C(C)C)CC2=CC=CC=C2,,58%
CN(CC1=CC=CC=C1)C(CCC)CC2=CC=CC=C2,,65%
C=CCN(CC1=CC=CC=C1)C(CCC2=CC=CC=C2)C(C)C,,60%
CN(CC1=CC=CC=C1)C(C2CC(F)(F)C2)C(C)C,,56%
CN(CC1=CC=CC=C1)C(CCC2=CC=CC=C2)CCP(CC)(CC)=O,,57%
CN(CC1=CC=CC=C1)C(C2=CC=C(S(=O)(C)=O)C=C2)C(C)C,,55%
CC(C)C(CCC1=CC=CC=C1)N2CCCCC2C(OC)=O,,47%
CN(C(CCC1=CN(S(C2=CC=C(C)C=C2)(=O)=O)C3=CC=CC=C13)C(C)C)CC4=CC=CC=C4,,61%
CC(C)C(C1=CC(I)=CC=C1)N(C)CC2=CC=CC=C2,,46%
CC(C)C(CCC)N(C)CCC1=CC=CC=N1,45%,
CC(C)C(CC1=NC(C=CC=C2)=C2S1)N(C)CC3=CC=CC=C3,45%,
CC(C)C(CCC)N1CC(SC=C2)=C2CC1,43%,
CC(C)C(CCC1=CC=CC=C1)N(C)CC(OC)=O,40%,
CC(C)C(CCC1=CC=CC=C1)N(C)CCO,35%,
CC(C)C(C[Si](C)(C)C)N(C)CC1=CC=CC=C1,32%,
CN(C(CC1CCN(CC1)C(OC(C)(C)C)=O)C(C)C)CC2=CC=CC=C2,,73%
CN(C(CCCCC1S[C@@](NC(N2)=O)([H])[C@@]2([H])C1)C(C)C)CC3=CC=CC=C3,,51%
CN(C(C(C)C)C(C)C)CC1=CC=CC=C1,,62%
CN(C(C1CC1)C(C)C)CC2=CC=CC=C2,,69%
CN(C(C1CCC1)C(C)C)CC2=CC=CC=C2,,78%
CN(CC1=CC=CC=C1)C(CCC)C2CCC(CC2)=O,30%,
CC(C)C(CCC1=CC=CC=C1)N2CC(OC)C2,22%,
CCCC(N(C1=CC(C=CC=C2)=C2C(Cl)=N1)CC3=CC=CC=C3)C(C)C,19%,
CN(CC1=CC=CC=C1)C(CCC2=CC=CC=C2)C3COC3,10%,
CN(CC1=CC=CC=C1)C(CCC2=CC=CC=C2)C3(C4)CC4(N5C=C(C6=CC=CC=C6)N=N5)C3,10%,
CCCC(N(C)CC1=CC=CC=C1)[C@@H]2O[C@@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O,0%,
CCCC(N1C(C=CC=C2)=C2C3=C1C=CC=C3)C(C)C,0%,
CN(C(C1CN(C(OCC2=CC=CC=C2)=O)C1)C(C)C)CC3=CC=CC=C3,,45%
CN(C(C1CCOCC1)C(C)C)CC2=CC=CC=C2,,78%
CN(C(C1CCN(C(OCC2=CC=CC=C2)=O)CC1)C(C)C)CC3=CC=CC=C3,,62%
CN(CC(C)C)CC1=CC=CC=C1,,59%
CN(C(C1=CC=C(Br)C=C1)C(C)C)CC2=CC=CC=C2,,70%
CN(C(C1=CC=C(C(F)(F)F)C=C1)C(C)C)CC2=CC=CC=C2,,52%
CN(C(C1=CC(F)=CC=C1)C(C)C)CC2=CC=CC=C2,,60%
CN(C(C1=CC(C(OC)=O)=CC=C1)C(C)C)CC2=CC=CC=C2,,56%
CN(C(C1=CC=C(C(F)(F)F)N=C1)C(C)C)CC2=CC=CC=C2,,45%
CN(C(C1=CSC=C1)C(C)C)CC2=CC=CC=C2,,47%
CN(C(CCC1=CC=CC=C1)CCC)CC2=CC=CC=C2,,82%
CN(C(CCC1=CC=CC=C1)CCC2=CC=CC=C2)CC3=CC=CC=C3,,76%
CN(C(CCC)CCC(OCC)=O)CC1=CC=CC=C1,,48%
CN(C(CCC1=CC=CC=C1)CCOC)CC2=CC=CC=C2,,81%
CN(C(CCC)CCC=C)CC1=CC=CC=C1,,62%
CN(C(CCC1=CC=CC=C1)CCC2OCCCO2)CC3=CC=CC=C3,,78%
CN(C(CCC1=CC=CC=C1)CCCC=C)CC2=CC=CC=C2,,45%
CN(C(CCC)CCC1=CN(S(C2=CC=C(C)C=C2)(=O)=O)C3=C1C=CC=C3)CC4=CC=CC=C4,,52%
CN(C(CCC)CCC1=CSC=C1)CC2=CC=CC=C2,,57%
CN(C(CCC)CCC1=CC=C(Br)C=C1)CC2=CC=CC=C2,,50%
CN(C(CCC)CCCCN1C(C(C=CC=C2)=C2C1=O)=O)CC3=CC=CC=C3,,51%
CN(C(CCC1=CC=CC=C1)CC2=CC=C(OC)C=C2)CC3=CC=CC=C3,,65%
CN(C(CCC)CCCB1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,,70%
CC(C)C(C1=CC=CO1)N(C)CC2=CC=CC=C2,0%,
CC(C)C(C(C)(C)C)N(C)CC1=CC=CC=C1,0%,
CN(C(CCC1=CC=CC=C1)COC)CC2=CC=CC=C2,,59%
CN(CC1=CC=CC=C1)C(CCC)CCC(F)(C(F)(F)F)F,0%,
CN(C(CCC)C1CCCC1)CC2=CC=CC=C2,,82%
CN(C(CCC)C1CCCCCC1)CC2=CC=CC=C2,,83%
CN(C(CCC)C1CC(C=CC=C2)=C2C1)CC3=CC=CC=C3,,86%
CC(CC1=CC=CC=C1)NC2CCCC2,68%,
CCCC(C1CCCCC1)N2CCCC2,,72%
CC(C(N1CCCC1C(OC(C)(C)C)=O)CCC2=CC=CC=C2)C,,67%
CN(C(CCC)C1CCOCC1)CC2=CC=CC=C2,,85%
CC(C(N1CCCC1C(F)(F)F)CCC2=CC=CC=C2)C,,52%
CN(C(CCC1=CC=CC=C1)C2CCN(C(OCC3=CC=CC=C3)=O)CC2)CC4=CC=CC=C4,,54%
CC([C@@H]1[C@@]([C@H]2CC1)(C)CC[C@H]3[C@H]2CC=C4C[C@H](CN(C)CC5=CC=CC=C5)CC[C@@H]43)=O,,51%
CN(C(CCC1=CC=CC=C1)C(C)(C)C)CC2=CC=CC=C2,,77%
CC(C(N1CCSCC1)CCC2=CC=CC=C2)C,,57%
CN(C(C1(C)CCCCC1)CCC2=CC=CC=C2)CC3=CC=CC=C3,,82%
CN(C(CCC1=CC=CC=C1)C)CC2=CC=CC=C2,,37%
CC(C(N1CC2CC2C1)CCC3=CC=CC=C3)C,,29%
CC(C(N1CCCCC1)CCC2=CC=CC=C2)C,,91%
CCCC(C1CCCCC1)N2CCOCC2,,61%
CCCC(N1CCC(C#N)CC1)C2CCCCC2,,50%
CN(C(C1(C[C@H](C2)C3)C[C@H]3C[C@H]2C1)CCC4=CC=CC=C4)CC5=CC=CC=C5,,75%
CCCC(N1C(C2)CCC1CC2=O)C(C)C,,60%
CC(C)C(CCC1=CC=CC=C1)N2CCN(CC2)C(OCC3=CC=CC=C3)=O,,57%
CC(C)C(CCC1=CC=CC=C1)N2CCN(S(=O)(C)=O)CC2,,64%
CC(C)C(CCC1=CC=CC=C1)N2C(C)CCCC2C,,32%
CC(C)C(CCC1=CC=CC=C1)N2CCCCCC2,,61%
CC(C)C(CCC1=CC=CC=C1)N2C[C@@H](C3=C4C=CC=C3)C[C@@H]4C2,,38%
CCCC(N(C(C)C)CC1=CC=CC=C1)C2CCCCC2,,55%
CCCC(N(CC(OCC)=O)CC1=CC=CC=C1)C(C)C,,67%
CCCC(N(CCCO[Si](C(C)C)(C(C)C)C(C)C)CC1=CC=CC=C1)C(C)C,,69%
CCCC(N(CCC#N)CC1=CC=CC=C1)C(C)C,,50%
CCCC(N(CCC1=CC=C(OC)C(OC)=C1)CC2=CC=CC=C2)C(C)C,,83%
CC(C)C(CCC1=CC=CC=C1)N(CCC=C)CC2=CC=CC=C2,,68%
CC(C)C(CCC1=CC=CC=C1)N(CCC#C)CC2=CC=CC=C2,,68%
CC(C)C(CCC)N(CCC1=CC=CS1)CC2=CC=CC=C2,,67%
CC(C)C(CCC)N(CCC1=CN(C(C)=O)C2C1C=CC=C2)CC3=CC=CC=C3,,77%
CC(C)C(CCC)N(CCSC1=NN=NN1C)CC2=CC=CC=C2,,73%
CC(C)C(CCC)N(CCCN1C=CN=C1)CC2=CC=CC=C2,,84%
CC(C)C(CCC)N(CC1=CC=NC(Br)=C1)CC2=CC=CC=C2,,46%
CC(C)C(CCC)N(CC1=CC=C(F)C(OC)=C1)CC2=CC=CC=C2,,61%
CCN(CC)C(CCC1=CC=CC=C1)C(C)C,,68%
CN(C1CCCCC1)C(CCC2=CC=CC=C2)C(C)C,,76%
CN(C(C)C1=CC=CC=C1)C(CCC2=CC=CC=C2)C(C)C,,67%
CN(C1=CC=CC=C1)C(CCC)C(C)C,,58%
CC(C)C(CCC)N(C1=CC=C(OC)C=C1)CC2=CC=CC=C2,,53%
CN(C1=CC=C(Br)C=C1)C(CCC)C(C)C,,52%
CC(C)C(CCC)N(C1=CC=CC=C1)C2=CC=CC=C2,,77%
ON(C1=CC=CC=C1)C(CCC)C(C)C,,56%
CC(C)C(CCC1=CC=CC=C1)N(CCC(C2=CC=CC=C2)OC3=CC=C(C(F)(F)F)C=C3)C,,70%
CC(C)C(CCC)N1CC(CN2C3=CC=CC2=O)CC3C1,,72%
CC(C(N1CCC(C2=NOC3=C2C=CC(F)=C3)CC1)CCC)C,,50%
CC(C(N1CCC(CC2CC(C=C(OC)C(OC)=C3)=C3C2=O)CC1)CCC)C,,66%
CN(C(CCC)C1CC(C=CC=C2)=C2C1)CC3=CC=CC=C3,,52%
CC(C(N1CCN(C2=NC3=C(C=CC=C3)SC4=C2C=CC=C4)CC1)CCC)C,,64%
CC(C(N(C)CC/C=C1C(C=CC=C2)=C2CCC3=C\1C=CC=C3)CCC)C,,75%